Description,Ticker,Field ID,Field Mnemonic,Data State,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
        Morocco,CUFUMPMA Index,PX385,INTERVAL_SUM,Dynamic,,23885.68425,22190.72307,32152.18825,34435,33750.5,35085.5,25593,24907,22423.5,20181.5,15505,17139.5,12491.5,15488.5,13852
    Other Regions,CUFUMPOC Index,PX385,INTERVAL_SUM,Dynamic,,672172.4641,778350.9002,775667.2816,943548.5571,846321.0005,671404.5008,695537.5,704926.5612,620185.0006,615634.479,595535.95,580163.4539,490741.4,478717.95,425144.5585
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
        Canada,CUFURPCA Index,PX385,INTERVAL_SUM,Dynamic,,277777.5,295532.4113,287695.3333,280057,277861,306430.5,326652.6501,314323.445,330941.6889,325818.6621,321510.9006,276445.65,274245.5,321013.5,336313
        United States,CUFURPUS Index,PX385,INTERVAL_SUM,Dynamic,,818497.9167,999277.1513,1002543.338,913532.5,1044690,1111079.5,1079146.5,1221915,1126150,1094710,1039950,1001382.5,1030275.5,1093850.5,1160450
        Mexico,CUFURPMX Index,PX385,INTERVAL_SUM,Dynamic,,369782,401722.5748,396597.9229,417450.5,448396.5,415126.5,434923,468052,439942.5,397703.5,352602,375464,401243,247134.5,260701.5
        Chile,CUFURPCL Index,PX385,INTERVAL_SUM,Dynamic,,1940968.981,2180585.507,2270796,2329700,2276900,2461200,2429550,2612750,2688350,2729400,2754900,2902000,3092400,3243900,3274200
        Peru,CUFURPPE Index,PX385,INTERVAL_SUM,Dynamic,,356886.5774,391103.7216,325922.7171,289222.237,306912.75,336799,335332.5,331326,353046.5,347394,361451,311231,367450.5,393634.5,423404
        Brazil,CUFURPBR Index,PX385,INTERVAL_SUM,Dynamic,,17849.52163,34890.25331,50458.61755,89314.5,177062,147300.5,143045,225800,297646.5,239706.5,247528,182846,225500,227596.5,210885
        Russia,CUFURPRU Index,PX385,INTERVAL_SUM,Dynamic,,1008017.25,1022431.978,981489.4998,1030905,1022298.5,987151.5,948599.5,867319.5,876219,894084.5,874900,890235,912000.5,895804.5,860519
        Spain,CUFURPES Index,PX385,INTERVAL_SUM,Dynamic,,340336.6167,341795.5636,366595,398820,390175,426307,417356,431365,422981,423237.5,350990.05,407233.5,353802,347412,328822
